seed,model,eval_set,N,class_0,class_1,roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier_score,ece
9999,Centralized Logistic Regression,UPenn_External_Test,114,12,102,0.47303921568627455,0.8975361001289109,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.10290013174072321,0.0636833899184079
9999,Centralized Random Forest,TCGA_Locked_Test,20,4,16,0.703125,0.922919547718793,0.8,0.8888888888888888,1.0,0.0,0.15269741031172956,0.08744485189991805
9999,Centralized Random Forest,UPenn_External_Test,114,12,102,0.363562091503268,0.8745347144276889,0.8947368421052632,0.9444444444444444,1.0,0.0,0.10230132311239822,0.05649409175381261
9999,Centralized XGBoost,TCGA_Locked_Test,20,4,16,0.75,0.9342834442389396,0.8,0.8888888888888888,1.0,0.0,0.15059773441286772,0.06452357769012454
9999,Centralized XGBoost,UPenn_External_Test,114,12,102,0.40441176470588236,0.8845781802957894,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.1092461568543597,0.13011889734811952
9999,Centralized MLP,TCGA_Locked_Test,20,4,16,0.65625,0.8972880775270481,0.8,0.8823529411764706,0.9375,0.25,0.1764078165446842,0.17995459487247442
9999,Centralized MLP,UPenn_External_Test,114,12,102,0.3856209150326797,0.8696419663081325,0.8070175438596491,0.8932038834951457,0.9019607843137255,0.0,0.1492175725918123,0.1722942574934575
9999,FedAvg MLP,TCGA_Locked_Test,20,4,16,0.328125,0.7297659349057376,0.8,0.8888888888888888,1.0,0.0,0.19602380808030823,0.21115323424973792
9999,FedAvg MLP,UPenn_External_Test,114,12,102,0.4852941176470588,0.908368342681473,0.868421052631579,0.9295774647887324,0.9705882352941176,0.0,0.12230062795902563,0.12874034611739565
9999,FedProx MLP (mu=0.01),TCGA_Locked_Test,20,4,16,0.453125,0.7620267855102414,0.8,0.8888888888888888,1.0,0.0,0.19624982322375611,0.18816834703656493
9999,FedProx MLP (mu=0.01),UPenn_External_Test,114,12,102,0.3537581699346405,0.8705875650258176,0.8596491228070176,0.9245283018867925,0.9607843137254902,0.0,0.12640838236540367,0.13687026648486456
9999,Patient DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.75,0.9401982668067228,0.75,0.8571428571428571,0.9375,0.0,0.24115434935445204,0.2423359150904796
9999,Patient DP (sigma=0.05),UPenn_External_Test,114,12,102,0.4027777777777778,0.8779884705300409,0.7982456140350878,0.8878048780487805,0.8921568627450981,0.0,0.18935780761516272,0.2009777982116745
9999,Patient DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.796875,0.9382580093517594,0.8,0.8888888888888888,1.0,0.0,0.1979382183145356,0.20633591921566052
9999,Patient DP (sigma=0.10),UPenn_External_Test,114,12,102,0.5694444444444444,0.9303077667299505,0.8508771929824561,0.919431279620853,0.9509803921568627,0.0,0.13882256365431586,0.13176958260344518
9999,Patient DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.734375,0.9293039836625363,0.8,0.8888888888888888,1.0,0.0,0.19231570238056717,0.19610910012537502
9999,Patient DP (sigma=0.20),UPenn_External_Test,114,12,102,0.4076797385620915,0.8851354975823162,0.8947368421052632,0.9444444444444444,1.0,0.0,0.10473631775065884,0.09411598344672459
9999,Client DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.5625,0.8839697019311957,0.8,0.8888888888888888,1.0,0.0,0.1993071598239123,0.23532022263524724
9999,Client DP (sigma=0.05),UPenn_External_Test,114,12,102,0.45751633986928103,0.8971306009019369,0.868421052631579,0.9295774647887324,0.9705882352941176,0.0,0.12454170066965613,0.12937265504863088
9999,Client DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.65625,0.9077106566464151,0.75,0.8484848484848485,0.875,0.25,0.1643353257479588,0.0964831775284732
9999,Client DP (sigma=0.10),UPenn_External_Test,114,12,102,0.5759803921568627,0.9164581426330415,0.8947368421052632,0.9433962264150944,0.9803921568627451,0.16666666666666666,0.11691924386136411,0.1061814996240573
9999,Client DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.625,0.8740110583860584,0.35,0.3157894736842105,0.1875,1.0,0.4467059491990814,0.518460153521467
9999,Client DP (sigma=0.20),UPenn_External_Test,114,12,102,0.6944444444444444,0.9450393738658766,0.2719298245614035,0.3252032520325203,0.19607843137254902,0.9166666666666666,0.46648460966794547,0.5894468758770551
