model,seed,cohort,roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier_score,ece
Client DP (sigma=0.05),42,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.000863019988571135,0.013495039036008542
Client DP (sigma=0.05),42,UPenn_external_test,0.7393790849673203,0.9629679122416056,0.8070175438596491,0.8888888888888888,0.8627450980392157,0.3333333333333333,0.14941684827887422,0.1601778811134849
Client DP (sigma=0.05),42,CGGA_external_val,0.7994579945799458,0.9209624145093858,0.9,0.9397590361445783,0.9512195121951219,0.6666666666666666,0.09453754868604289,0.09628807386998764
Patient DP (sigma=0.10),42,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.000863019988571135,0.013495039036008542
Patient DP (sigma=0.10),42,UPenn_external_test,0.7393790849673203,0.9629679122416056,0.8070175438596491,0.8888888888888888,0.8627450980392157,0.3333333333333333,0.14941684827887422,0.1601778811134849
Patient DP (sigma=0.10),42,CGGA_external_val,0.7994579945799458,0.9209624145093858,0.9,0.9397590361445783,0.9512195121951219,0.6666666666666666,0.09453754868604289,0.09628807386998764
Client DP (sigma=0.10),42,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0009165029206045374,0.013805568806540377
Client DP (sigma=0.10),42,UPenn_external_test,0.7320261437908496,0.9631796228601488,0.7894736842105263,0.8787878787878788,0.8529411764705882,0.25,0.1471903918128986,0.15542858388460237
Client DP (sigma=0.10),42,CGGA_external_val,0.7940379403794039,0.9211198212665055,0.9,0.9397590361445783,0.9512195121951219,0.6666666666666666,0.09958217308453345,0.12167103827309003
Patient DP (sigma=0.20),42,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0009165029206045374,0.013805568806540377
Patient DP (sigma=0.20),42,UPenn_external_test,0.7320261437908496,0.9631796228601488,0.7894736842105263,0.8787878787878788,0.8529411764705882,0.25,0.1471903918128986,0.15542858388460237
Patient DP (sigma=0.20),42,CGGA_external_val,0.7940379403794039,0.9211198212665055,0.9,0.9397590361445783,0.9512195121951219,0.6666666666666666,0.09958217308453345,0.12167103827309003
Client DP (sigma=0.20),42,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,9.233337088333385e-05,0.003545742070927561
Client DP (sigma=0.20),42,UPenn_external_test,0.7328431372549019,0.9619720923407649,0.8245614035087719,0.9,0.8823529411764706,0.3333333333333333,0.14541253929077447,0.14871407161532582
Client DP (sigma=0.20),42,CGGA_external_val,0.7831978319783198,0.9189567615396355,0.88,0.926829268292683,0.926829268292683,0.6666666666666666,0.09600527612470731,0.12179225876168409
Centralized LR,123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.017299822631134575,0.09506694506166688
Centralized LR,123,UPenn_external_test,0.7516339869281046,0.9661353757102217,0.7807017543859649,0.8704663212435233,0.8235294117647058,0.4166666666666667,0.1736810518847001,0.18937212573521922
Centralized LR,123,CGGA_external_val,0.8807588075880759,0.9718980574261793,0.84,0.9,0.8780487804878049,0.6666666666666666,0.10725690563968049,0.1539276920450715
Centralized RF,123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.024910539607241742,0.13470561979361034
Centralized RF,123,UPenn_external_test,0.7459150326797386,0.9637550816182789,0.7807017543859649,0.8717948717948718,0.8333333333333334,0.3333333333333333,0.15148394767363751,0.19491114534678944
Centralized RF,123,CGGA_external_val,0.8455284552845529,0.9655630198007437,0.82,0.891566265060241,0.9024390243902439,0.4444444444444444,0.12221199543804344,0.137130542201219
Centralized XGBoost,123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.014183358067289067,0.08988115515397944
Centralized XGBoost,123,UPenn_external_test,0.7058823529411765,0.9502565506507655,0.7894736842105263,0.8775510204081632,0.8431372549019608,0.3333333333333333,0.15168528911400336,0.15537801742749774
Centralized XGBoost,123,CGGA_external_val,0.8807588075880759,0.9744898080915914,0.8,0.8780487804878049,0.8780487804878049,0.4444444444444444,0.12553868955472255,0.15343158379197122
Centralized MLP,123,TCGA_test,1.0,1.0,0.9652173913043478,0.9777777777777777,0.9565217391304348,1.0,0.02285624979953376,0.08039022358564021
Centralized MLP,123,UPenn_external_test,0.6102941176470589,0.9374167686142612,0.7631578947368421,0.8615384615384616,0.8235294117647058,0.25,0.18166956771709236,0.18508433076649564
Centralized MLP,123,CGGA_external_val,0.8021680216802168,0.9474148956245299,0.8,0.8780487804878049,0.8780487804878049,0.4444444444444444,0.14428944851529113,0.1332680535507882
FedAvg MLP,123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0005805778329038761,0.011023776786342714
FedAvg MLP,123,UPenn_external_test,0.7238562091503268,0.9597582147564028,0.8070175438596491,0.8888888888888888,0.8627450980392157,0.3333333333333333,0.16093780377256578,0.14631250275597463
FedAvg MLP,123,CGGA_external_val,0.8482384823848238,0.9645933958976449,0.82,0.891566265060241,0.9024390243902439,0.4444444444444444,0.145385473295274,0.1726064887623731
FedProx MLP (mu=0.01),123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.005590157781965655,0.039875504569107934
FedProx MLP (mu=0.01),123,UPenn_external_test,0.7058823529411765,0.9570052950266411,0.7894736842105263,0.8775510204081632,0.8431372549019608,0.3333333333333333,0.1669667775945553,0.15588025408938772
FedProx MLP (mu=0.01),123,CGGA_external_val,0.8401084010840109,0.954031397090739,0.84,0.9047619047619048,0.926829268292683,0.4444444444444444,0.11774374585649276,0.13420022203479678
Patient DP (sigma=0.05),123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0004662045870980582,0.010418627657975209
Patient DP (sigma=0.05),123,UPenn_external_test,0.7050653594771242,0.9563864595770508,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.17193236427302114,0.16308671675274938
